,variables,lambda
0,logRelF0-H1-A3_sma3nz_amean,0.9373824739487857
1,mfcc3V_sma3nz_amean,0.9023638873148819
2,F3bandwidth_sma3nz_stddevNorm,0.8764048796821837
3,HNRdBACF_sma3nz_amean,0.8555926845580697
4,mfcc4V_sma3nz_amean,0.8278735089969276
5,mfcc4_sma3_amean,0.8168513346657466
6,F3bandwidth_sma3nz_amean,0.8087198475674432
7,mfcc2V_sma3nz_amean,0.8010692682325471
8,F2bandwidth_sma3nz_stddevNorm,0.7940666501580661
9,mfcc3_sma3_amean,0.7886954353423077
10,hammarbergIndexV_sma3nz_amean,0.7836361249001178
11,mfcc1_sma3_amean,0.7689076794124159
12,alphaRatioV_sma3nz_amean,0.7610959084543123
13,shimmerLocaldB_sma3nz_amean,0.7571247610196962
14,F1frequency_sma3nz_amean,0.7549618391059063
15,logRelF0-H1-H2_sma3nz_amean,0.7526709124420824
16,F3amplitudeLogRelF0_sma3nz_amean,0.7504774982835829
17,F2amplitudeLogRelF0_sma3nz_amean,0.7486098376840513
18,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.747086969689396
19,equivalentSoundLevel_dBp,0.7456146595160118
20,slopeUV500-1500_sma3nz_amean,0.7402113185417477
21,F1bandwidth_sma3nz_amean,0.7380747074273617
22,hammarbergIndexUV_sma3nz_amean,0.7362900448662003
23,slopeV0-500_sma3nz_amean,0.7334205165416096
24,F3frequency_sma3nz_stddevNorm,0.7321267617370631
25,mfcc1V_sma3nz_amean,0.7305463307583775
26,loudness_sma3_meanRisingSlope,0.7289325233576419
27,F1frequency_sma3nz_stddevNorm,0.727544123713167
28,spectralFluxV_sma3nz_amean,0.7265279666034117
29,mfcc2_sma3_amean,0.7256487791845263
30,loudness_sma3_percentile80.0,0.7247564215608839
31,slopeV500-1500_sma3nz_amean,0.7241812503109016
32,spectralFluxUV_sma3nz_amean,0.7234311129135509
33,loudness_sma3_stddevNorm,0.7227167186070823
34,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.7220905766514231
35,jitterLocal_sma3nz_amean,0.7214515153083388
36,loudnessPeaksPerSec,0.7207754699519933
37,F2frequency_sma3nz_amean,0.7202830806507601
38,F3frequency_sma3nz_amean,0.7190420480827927
39,jitterLocal_sma3nz_stddevNorm,0.7185649084983076
40,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.7180604972331289
41,VoicedSegmentsPerSec,0.7175045912316353
42,StddevVoicedSegmentLengthSec,0.7169611299539733
43,loudness_sma3_percentile50.0,0.7164954842705805
44,loudness_sma3_amean,0.7155458946853122
45,spectralFluxV_sma3nz_stddevNorm,0.7151682174652696
46,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.7147888157347798
47,F2bandwidth_sma3nz_amean,0.7144783297868827
48,spectralFlux_sma3_amean,0.7142289275941902
49,shimmerLocaldB_sma3nz_stddevNorm,0.7139531930455926
50,F2frequency_sma3nz_stddevNorm,0.7136995625999598
51,alphaRatioUV_sma3nz_amean,0.71347355119734
52,hammarbergIndexV_sma3nz_stddevNorm,0.7132820843510206
53,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.7130977485048617
54,F0semitoneFrom27.5Hz_sma3nz_amean,0.7128676129718665
55,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.7126811090607371
56,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.7125449234070457
57,StddevUnvoicedSegmentLength,0.7124148903486007
58,MeanUnvoicedSegmentLength,0.7121761743332893
59,F1bandwidth_sma3nz_stddevNorm,0.7120625253808232
60,loudness_sma3_stddevFallingSlope,0.711978335132756
61,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.7119060095908694
62,F1amplitudeLogRelF0_sma3nz_amean,0.7118571742110262
63,spectralFlux_sma3_stddevNorm,0.7118140564316833
64,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.7117757909936273
65,loudness_sma3_stddevRisingSlope,0.7117490090114333
66,MeanVoicedSegmentLengthSec,0.7117300109208383
67,loudness_sma3_percentile20.0,0.7117119280204794
68,loudness_sma3_pctlrange0-2,0.6966290319174755
